source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Biztoc.com'}",bizjournals.com,Anthropic and Databricks shake hands; Regulatory rhetoric softens: Week in AI,Here's what you need to know this week about artificial intelligence in the Bay Area as March comes to an end.,https://biztoc.com/x/ad89b73a9a3d0569,https://biztoc.com/cdn/ad89b73a9a3d0569_s.webp,2025-03-27T22:01:24Z,"Here's what you need to know this week about artificial intelligence in the Bay Area as March comes to an end.
This story appeared on bizjournals.com, 2025-03-27 21:43:16."
"{'id': None, 'name': 'Slashdot.org'}",BeauHD,H&M To Use Digital Clones of Models In Ads and Social Media,"An anonymous reader quotes a report from the BBC: Fashion retailer H&M is to use artificial intelligence (AI) to create digital ""twins"" of 30 models. It says it will use the AI doppelgangers in some social media posts and marketing in the place of humans, if …",https://tech.slashdot.org/story/25/03/27/2058218/hm-to-use-digital-clones-of-models-in-ads-and-social-media,https://a.fsdn.com/sd/topics/ai_64.png,2025-03-27T22:00:00Z,"Fashion retailer H&amp;M is to use artificial intelligence (AI) to create digital ""twins"" of 30 models. It says it will use the AI doppelgangers in some social media posts and marketing in the place … [+855 chars]"
"{'id': 'nbc-news', 'name': 'NBC News'}",Angela Yang,"Kicked out of Columbia, this student doesn’t plan to stop trolling big tech with AI",A computer science student at Columbia University said he has been kicked out by the school after he built an artificial intelligence tool to cheat in tech job interviews and documented the fallout online.,https://www.nbcnews.com/tech/tech-news/columbia-university-student-trolls-big-tech-ai-tool-job-applications-rcna198454,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-03/250327-roy-lee-2-ew-400p-cb8880.jpg",2025-03-27T21:51:33Z,A computer science student at Columbia University said he has been kicked out by the school after he built an artificial intelligence tool to cheat in tech job interviews and documented the fallout o… [+5426 chars]
"{'id': None, 'name': 'Japan Today'}",,"U.S. robotics companies push for national strategy, including a central office, to compete with China","American robotics companies are pushing for a national robotics strategy, including establishing a federal office focused on promoting the industry at a time when China is making intelligent robots a national priority. Representatives of companies — including…",https://japantoday.com/category/tech/us-robotics-companies-push-for-national-strategy-including-a-central-office-to-compete-with-china,,2025-03-27T21:50:10Z,"American robotics companies are pushing for a national robotics strategy, including establishing a federal office focused on promoting the industry at a time when China is making intelligent robots a… [+5628 chars]"
"{'id': None, 'name': 'Japan Today'}",,Judge allows newspaper copyright lawsuit against OpenAI to proceed,A federal judge has ruled that The New York Times and other newspapers can proceed with a copyright lawsuit against OpenAI and Microsoft seeking to end the practice of using their stories to train artificial intelligence chatbots. U.S. District Judge Sidney S…,https://japantoday.com/category/tech/judge-allows-newspaper-copyright-lawsuit-against-openai-to-proceed,,2025-03-27T21:49:58Z,A federal judge has ruled that The New York Times and other newspapers can proceed with a copyright lawsuit against OpenAI and Microsoft seeking to end the practice of using their stories to train ar… [+1811 chars]
"{'id': 'breitbart-news', 'name': 'Breitbart News'}","Frances Martel, Frances Martel",North Korea Claims to Have AI-Powered Suicide Drones,"The communist regime of North Korea claimed on Thursday that its dictator, Kim Jong-un, had presided over tests of a new model of suicide drone equipped with artificial intelligence (AI).
The post North Korea Claims to Have AI-Powered Suicide Drones appeared …",https://www.breitbart.com/asia/2025/03/27/north-korea-claims-to-have-ai-powered-suicide-drones/,https://media.breitbart.com/media/2025/03/AP25085852021092-640x335.jpg,2025-03-27T21:40:36Z,"The communist regime of North Korea claimed on Thursday that its dictator, Kim Jong-un, had presided over tests of a new model of suicide drone equipped with artificial intelligence (AI).
North Kore… [+5085 chars]"
"{'id': None, 'name': 'Forbes'}","Keith Ferrazzi, Contributor, 
 Keith Ferrazzi, Contributor
 https://www.forbes.com/sites/keithferrazzi/",The AI Recruitment Takeover: Redefining Hiring In The Digital Age,"AI is no longer just a tool in recruitment—it is the architect of a future where hiring could be fully automated, with massively more reach, and free from human bias.",https://www.forbes.com/sites/keithferrazzi/2025/03/27/the-ai-recruitment-takeover-redefining-hiring-in-the-digital-age/,https://imageio.forbes.com/specials-images/imageserve/67e5c2e29f7b61241a778716/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-03-27T21:33:33Z,"This is the dawn of an intelligent hiring revolution, where human potential is matched with ... More opportunity in ways never before imagined. The future of recruitment isnt just AI-assistedit is AI… [+18364 chars]"
"{'id': None, 'name': 'Longnow.org'}",The Long Now Foundation,Blaise Agüera y Arcas,What is Intelligence?,https://longnow.org/ideas/what-is-intelligence/,https://static.longnow.org/2025/03/020250916-aguera-y-arcas-story-image-option-1.png,2025-03-27T21:31:33Z,"In What is Intelligence?, Blaise Agüera y Arcas, VP, Fellow and CTO of Technology &amp; Society at Google, explores what intelligence really is, and how AIs emergence is a natural consequence of evol… [+655 chars]"
"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by Marcel Pechman,Solana price struggles to flip $150 to support — Is the SOL bull market over?,"Solana's native token, SOL (SOL), faced a sharp 8% rejection after briefly touching $147 on March 25. For the past three weeks, SOL has struggled to reclaim the $150 level, which is leading traders to question whether the bullish momentum that was originally …",https://cointelegraph.com/news/solana-price-struggles-to-flip-150-to-support-is-the-sol-bull-market-over,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-03/0195d90c-0171-7835-a75b-1e4900f04ebb",2025-03-27T21:23:26Z,"Solana's native token, SOL (SOL), faced a sharp 8% rejection after briefly touching $147 on March 25. For the past three weeks, SOL has struggled to reclaim the $150 level, which is leading traders t… [+4227 chars]"
"{'id': None, 'name': 'Computerworld'}",Jonny Evans,"With the rise of genAI, it’s time to follow Apple’s Security Recommendations","Apple’s Safari browser has a really useful password management feature, which is now also available as a standalone app called Passwords. If you’ve ever taken a look at it, you may have seen a section called Security Recommendations where you’ll find a collec…",https://www.computerworld.com/article/3855526/with-the-rise-of-genai-its-time-to-follow-apples-security-recommendations.html,https://www.computerworld.com/wp-content/uploads/2025/03/3855526-0-19781200-1743110530-apple-ipad-10-inch-2022-review_28-100962418-orig.jpg?quality=50&strip=all&w=1024,2025-03-27T21:21:29Z,"The main takeaway is this: You should act on the warnings given to you by Apple’s Security Recommendations tool. You should avoid re-using passwords, no matter where it is. You should use a Password … [+859 chars]"
"{'id': None, 'name': 'Foreign Policy'}",John Haltiwanger and Rishi Iyengar,Trump’s Intelligence Community Outlines Top Global Threats,The 2025 worldwide threat assessment lists drug cartels and China as top dangers.,http://foreignpolicy.com/2025/03/27/trump-intelligence-worldwide-threat-assessment-report-china-drug-cartels/,https://foreignpolicy.com/wp-content/uploads/2025/03/house-intel-hearing-worldwide-threats-gabbard-ratcliffe-signal-GettyImages-2207021580.jpg?w=1000,2025-03-27T21:20:09Z,"Welcome back to Foreign Policys Situation Report. It has been a whirlwind of a week thanks to Signalgatethe group chat heard around the world.
The evolving scandal has already prompted major concern… [+14336 chars]"
"{'id': None, 'name': 'Phys.Org'}",Anne Wilson,Mapping the future of metamaterials,"Metamaterials are artificially-structured materials with extraordinary properties not easily found in nature. With engineered three-dimensional (3D) geometries at the micro- and nanoscale, these architected materials achieve unique mechanical and physical pro…",https://phys.org/news/2025-03-future-metamaterials.html,https://scx2.b-cdn.net/gfx/news/2025/mapping-the-future-of.jpg,2025-03-27T21:13:03Z,"Metamaterials are artificially-structured materials with extraordinary properties not easily found in nature. With engineered three-dimensional (3D) geometries at the micro- and nanoscale, these arch… [+4055 chars]"
"{'id': None, 'name': 'Newsonjapan.com'}",,How AI Can Truly Create Value?,"In a special NewsPicks program, experts from Laboro.AI, including CEO Tetsuo Shiibashi and senior solution designer Tatsuru Shiratori, explored how artificial intelligence can go beyond efficiency to generate real business value—what they call ""value-up AI."" …",https://newsonjapan.com/article/145248.php,https://i2.ytimg.com/vi/k7t-ygQySCY/mqdefault.jpg,2025-03-27T21:07:59Z,"TOKYO, Mar 28 (News On Japan) -
 In a special NewsPicks program, experts from Laboro.AI, including CEO Tetsuo Shiibashi and senior solution designer Tatsuru Shiratori, explored how artificial intell… [+1701 chars]"
"{'id': 'next-big-future', 'name': 'Next Big Future'}",Brian Wang,ChatGPT 4o Applies Any Style to Photos,ChatGPT 4o image recreation ca take a photo and apply all kinds of styles. Styles: Studio Ghibli Wallace and Gromit Rick and Morty Attack on Titan Improved capabilities OpenAI trained the 4o native image models on the joint distribution of online images and t…,https://www.nextbigfuture.com/2025/03/chatgpt-4o-applies-any-style-to-photos.html,https://nextbigfuture.s3.amazonaws.com/uploads/2025/03/Screenshot-2025-03-27-at-2.00.58-PM.jpg,2025-03-27T21:07:40Z,"ChatGPT 4o image recreation ca take a photo and apply all kinds of styles. 
Styles:Studio GhibliWallace and GromitRick and MortyAttack on Titan
Improved capabilities
OpenAI trained the 4o native i… [+1652 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Ghazal Ahmed,Citi Stands by AppLovin (APP) With $600 Target – Here’s What Could Fuel the Next Leg Up,"We recently published a list of the 10 AI Stocks Catching Wall Street’s Attention. In this article, we are going to take a look at where AppLovin Corporation...",https://finance.yahoo.com/news/citi-stands-applovin-app-600-210650171.html,https://s.yimg.com/ny/api/res/1.2/MB7JmVvny9kRWRUHUx4g9Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/9ce079f43f1fa0733d0a55fdc0236b69,2025-03-27T21:06:50Z,"We recently published a list of the 10 AI Stocks Catching Wall Streets Attention. In this article, we are going to take a look at where AppLovin Corporation (NASDAQ:APP) stands against other AI stock… [+4667 chars]"
"{'id': None, 'name': 'pymnts.com'}",PYMNTS,Digital Doppelgangers: H&M Explores AI Digital Twins for Fashion Retail,"Swedish retail giant H&M is creating 30 digital twins of human models this year as it explores new ways to showcase its clothes, shoes and accessories. The news, first reported by Business of Fashion, would potentially be used in marketing campaigns and socia…",https://www.pymnts.com/artificial-intelligence-2/2025/digital-doppelgangers-hm-explores-ai-digital-twins-for-fashion-retail/,https://www.pymnts.com/wp-content/uploads/2025/03/HM-AI-models.jpg,2025-03-27T21:04:55Z,"Swedish retail giant H&amp;M is creating 30 digital twins of human models this year as it explores new ways to showcase its clothes, shoes and accessories.
The news, first reported by Business of Fa… [+4675 chars]"
"{'id': 'financial-post', 'name': 'Financial Post'}",GlobeNewswire,NowVertical Group Announces Fourth Quarter and Full Year 2024 Earnings Release Date and Financial Update Webinar,"TORONTO, March 27, 2025 (GLOBE NEWSWIRE) — NowVertical Group Inc. (TSXV: NOW) (“NowVertical” or the “Company”), a leading data and AI solutions provider, will announce its 2024 fourth quarter and full year financial results before the market open on Wednesday…",https://financialpost.com/globe-newswire/nowvertical-group-announces-fourth-quarter-and-full-year-2024-earnings-release-date-and-financial-update-webinar,,2025-03-27T21:04:15Z,"TORONTO, March 27, 2025 (GLOBE NEWSWIRE) NowVertical Group Inc. (TSXV: NOW) (NowVertical or the Company), a leading data and AI solutions provider, will announce its 2024 fourth quarter and full year… [+4493 chars]"
"{'id': None, 'name': 'Daily Signal'}",Victor Davis Hanson,The Real Oligarchs Who’ve Been Running Our Country,"Editor’s note: This is a lightly edited transcript of today’s video from Daily Signal Senior Contributor Victor Davis Hanson. Subscribe to our YouTube channel to see... Read More
The post The Real Oligarchs Who’ve Been Running Our Country appeared first on Th…",https://www.dailysignal.com/2025/03/27/the-real-oligarchs-whove-been-running-our-country/,https://www.dailysignal.com/wp-content/uploads/2025/03/GettyImages-2203101046.jpg,2025-03-27T21:04:00Z,"Editors note: This is a lightly edited transcript of todays video from Daily Signal Senior Contributor Victor Davis Hanson. Subscribe to our YouTube channel to see more of his videos.
Hello, this is… [+5304 chars]"
"{'id': None, 'name': 'GlobeNewswire'}",NowVertical Group Inc,NowVertical Group Announces Fourth Quarter and Full Year 2024 Earnings Release Date and Financial Update Webinar,"TORONTO, March 27, 2025 (GLOBE NEWSWIRE) -- NowVertical Group Inc. (TSXV: NOW) (""NowVertical"" or the ""Company""), a leading data and AI solutions provider, will announce its 2024 fourth quarter and full year financial results before the market open on Wednesda…",https://www.globenewswire.com/news-release/2025/03/27/3051069/0/en/NowVertical-Group-Announces-Fourth-Quarter-and-Full-Year-2024-Earnings-Release-Date-and-Financial-Update-Webinar.html,https://ml.globenewswire.com/Resource/Download/7b67b6ed-ec53-4a2f-ac00-10d021f41afa,2025-03-27T21:00:00Z,"TORONTO, March 27, 2025 (GLOBE NEWSWIRE) -- NowVertical Group Inc. (TSXV: NOW) (""NowVertical"" or the ""Company""), a leading data and AI solutions provider, will announce its 2024 fourth quarter and fu… [+4530 chars]"
"{'id': None, 'name': 'Slashdot.org'}",Anonymous Coward,H&M To Use Digital Clones of Models In Ads and Social Media,"Fashion retailer H&M is to use artificial intelligence (AI) to create digital ""twins"" of 30 models.
It says it will use the AI doppelgangers in some social media posts and marketing in the place of humans, if given permission by models. ""We are curious to exp…",https://slashdot.org/submission/17334621/hm-to-use-digital-clones-of-models-in-ads-and-social-media,,2025-03-27T20:56:21Z,"Fashion retailer H&amp;M is to use artificial intelligence (AI) to create digital ""twins"" of 30 models.
It says it will use the AI doppelgangers in some social media posts and marketing in the place… [+853 chars]"
"{'id': None, 'name': 'GlobeNewswire'}","Spectral AI, Inc.",Spectral AI Announces 2024 Fourth Quarter and Full Year Financial Results,2024 Research & Development Revenue of $30 Million                Successful Results from the US Burn Validation Study                 On Track for......,https://www.globenewswire.com/news-release/2025/03/27/3051062/0/en/Spectral-AI-Announces-2024-Fourth-Quarter-and-Full-Year-Financial-Results.html,https://ml.globenewswire.com/Resource/Download/a9a72c47-e800-49a2-a556-205f5f53d330,2025-03-27T20:55:00Z,"2024Research&amp;DevelopmentRevenueof$30Million
Successful Results from the US Burn Validation Study 
OnTrackforRegulatorySubmissioninUSforDeepView System 
DALLAS, March 27, 2025 (GLOBE NEWSWIRE) … [+27416 chars]"
"{'id': None, 'name': 'CNBC'}",,AppLovin shares plunge 20% after third short-selling firm slams company's ad technology,Shares of AppLovin plunged on Thursday after short-selling firm Muddy Waters joined the parade of skeptics trying to push down the stock.,https://www.cnbc.com/2025/03/27/applovin-plunged-20percent-as-short-seller-muddy-waters-goes-after-company.html,https://image.cnbcfm.com/api/v1/image/106869030-1618507069516AdamForoughi-AppLovin-1-jpg?v=1736363194&w=1920&h=1080,2025-03-27T20:54:40Z,"Shares of AppLovin sank 20% on Thursday, their steepest drop on record, as another short-selling firm raised concerns about the company's digital ad technology and claimed that it's violating app sto… [+3316 chars]"
"{'id': 'time', 'name': 'Time'}",JOSH FUNK / AP,FAA Chief Says ‘We Have to Do Better’ After Deadly D.C. Air Collision,The Jan. 30 collision over the Potomac River was the nation's deadliest plane crash since November 2001.,https://time.com/7272355/faa-chief-testifies-deadly-d-c-air-collision/,https://api.time.com/wp-content/uploads/2025/03/AP25085677266127.jpg?quality=85&w=1200&h=628&crop=1,2025-03-27T20:51:55Z,"The head of the Federal Aviation Administration told Congress during a hearing Thursday about a midair collision over Washington, D.C., that killed 67 people that the agency must do more to ensure fl… [+4810 chars]"
"{'id': None, 'name': 'SiliconANGLE News'}",Kyt Dotson,AI startup CADDi nabs $38M to help manufacturers optimize supply chains,"Japanese artificial intelligence startup CADDi Inc. today raised $38 million in new funding to grow its AI data platform that assists manufacturing companies optimize the procurement of parts. Atomico, a European venture capital firm, led what the company cal…",https://siliconangle.com/2025/03/27/ai-startup-caddi-nabs-38m-help-manufacturers-optimize-supply-chains/,https://d15shllkswkct0.cloudfront.net/wp-content/blogs.dir/1/files/2025/03/worker-4395770_1280.jpg,2025-03-27T20:45:13Z,"Japanese artificial intelligence startup CADDi Inc. today raised $38 million in new funding to grow its AI data platform that assists manufacturing companies optimize the procurement of parts.
Atomi… [+3832 chars]"
"{'id': None, 'name': 'Mit.edu'}",Anne Wilson | Department of Mechanical Engineering,Mapping the future of metamaterials,"The future of mechanical metamaterials demands interdisciplinary collaboration and innovation, say researchers from MIT&#039;s Portela Lab.",https://news.mit.edu/2025/mapping-future-metamaterials-0327,https://news.mit.edu/sites/default/files/images/202503/mit-Portela.jpg,2025-03-27T20:45:00Z,"Metamaterials are artificially-structured materials with extraordinary properties not easily found in nature. With engineered three-dimensional (3D) geometries at the micro- and nanoscale, these arch… [+3229 chars]"
